itemId|name|plaintext
1001|Boots of Speed|Slightly increases Movement Speed
1004|Faerie Charm|Slightly increases Mana Regen
1006|Rejuvenation Bead|Slightly increases Health Regen
1011|Giant's Belt|Greatly increases Health
1018|Cloak of Agility|Increases critical strike chance
1026|Blasting Wand|Moderately increases Ability Power
1027|Sapphire Crystal|Increases Mana
1028|Ruby Crystal|Increases Health
1029|Cloth Armor|Slightly increases Armor
1031|Chain Vest|Greatly increases Armor
1033|Null-Magic Mantle|Slightly increases Magic Resist
1036|Long Sword|Slightly increases Attack Damage
1037|Pickaxe|Moderately increases Attack Damage
1038|B. F. Sword|Greatly increases Attack Damage
1039|Hunter's Talisman|Provides damage against Monsters and Mana Regen in the Jungle
1041|Hunter's Machete|Provides damage and life steal versus Monsters
1042|Dagger|Slightly increases Attack Speed
1043|Recurve Bow|Greatly increases Attack Speed
1052|Amplifying Tome|Slightly increases Ability Power
1053|Vampiric Scepter|Basic attacks restore Health
1054|Doran's Shield|Good defensive starting item
1055|Doran's Blade|Good starting item for attackers
1056|Doran's Ring|Good starting item for casters
1057|Negatron Cloak|Moderately increases Magic Resist
1058|Needlessly Large Rod|Greatly increases Ability Power
1082|Dark Seal|Provides Ability Power and Mana.  Increases in power as you kill enemies.
1083|Cull|Provides damage and Life Steal on hit - Killing minions grant bonus Gold
1400|Enchantment: Warrior|Grants Attack Damage and Cooldown Reduction
1401|Enchantment: Cinderhulk|Grants Health and Immolate Aura
1402|Enchantment: Runic Echoes|Grants Ability Power and periodically empowers your Spells
1412|Enchantment: Warrior|Grants Attack Damage and Cooldown Reduction
1413|Enchantment: Cinderhulk|Grants Health and Immolate Aura
1414|Enchantment: Runic Echoes|Grants Ability Power and periodically empowers your Spells
1416|Enchantment: Bloodrazor|Increases Attack Speed and deals damage based on the target's Health
1419|Enchantment: Bloodrazor|Increases Attack Speed and deals damage based on the target's Health
2003|Health Potion|Consume to restore Health over time
2006|Showdown Health Potion|Consume to restore Health over time
2009|Total Biscuit of Rejuvenation|
2010|Total Biscuit of Everlasting Will|
2015|Kircheis Shard|Attack speed and a chargable magic hit
2031|Refillable Potion|Restores Health over time. Refills at shop.
2033|Corrupting Potion|Restores Health and Mana over time and boosts combat power - Refills at Shop
2047|Oracle's Extract|Allows champion to see invisible or unseen enemy units
2051|Guardian's Horn|Good starting item for tanks
2052|Poro-Snax|
2054|Diet Poro-Snax|
2055|Control Ward|Used to disable wards and invisible traps in an area.
2065|Shurelya's Reverie|Activate to speed up nearby allies.
2138|Elixir of Iron|Temporarily increases defenses. Leaves a trail for allies to follow.
2139|Elixir of Sorcery|Temporarily grants Ability Power and Bonus Damage to champions and turrets.
2140|Elixir of Wrath|Temporarily grants Attack Damage and heals you when dealing physical damage to champions.
2403|Minion Dematerializer|
2419|Commencing Stopwatch|
2420|Stopwatch|Activate to become invincible but unable to take actions
2421|Broken Stopwatch|Upgrades to stopwatch
2422|Slightly Magical Boots|Slightly increases Movement Speed
2423|Perfectly Timed Stopwatch|Activate to become invincible but unable to take actions
2424|Broken Stopwatch|
3001|Abyssal Mask|Nearby enemies take more magic damage
3003|Archangel's Staff|Increases Ability Power based on maximum Mana
3004|Manamune|Increases Attack Damage based on maximum Mana
3005|Atma's Reckoning|Increases Attack Damage based on maximum Health
3006|Berserker's Greaves|Enhances Movement Speed and Attack Speed
3007|Archangel's Staff (Quick Charge)|Increases Ability Power based on maximum Mana
3008|Manamune (Quick Charge)|Increases Attack Damage based on maximum Mana
3009|Boots of Swiftness|Enhances Movement Speed and reduces the effect of slows
3010|Catalyst of Aeons|Spend Mana to recover Health
3020|Sorcerer's Shoes|Enhances Movement Speed and magic damage
3022|Frozen Mallet|Basic attacks slow enemies
3024|Glacial Shroud|Increases Armor and Cooldown Reduction
3025|Iceborn Gauntlet|Basic attacks create a slow field after spell cast
3026|Guardian Angel|Periodically revives champion upon death
