puuid|accountId|summonerId|region|tier|summonerName|leaguePoints|rank|wins|losses|veteran|inactive|freshBlood|hotStreak|profileIconId|revisionDate|summonerLevel
MVWXbG231xJMd0tmGJmvuXVTc1li29DWFOShLPcHYR0qX-EmircYjBbb4SwMEUKJ5iNzzLkNxIp8sQ|pp1SS3N_qIyoBkQknPSADfbhWSjmR2MzV8BEr5OjutWkKsA|3QtuOEQOuID6eai6Cup3_ZGvjcFEYonfV3PPCo7nQlr6rfw|na1|challenger|Neøø|1075|I|306|249|False|False|False|False|4022|1595835248000|393
tuaUINCiEZxMIECLU2TS1vf4kghahha54THEQAiIHxqFLVEdXvRoPaIzIblb9EbUvspQ1-r0wjegtg|-cDfqvyljFQCBSKJINZ8ZRNz3D1fL9dEyjEvAXA_bOffZl0|hJeMXUQME8-XlGC8vc8tETw_bHitWTiN6VaB8MXcpHtAZ7Q|na1|challenger|Bykrhn|530|I|636|613|True|False|False|False|1151|1595880230000|344
me7pHIYF9AW7zWLBE6G44vy1VNRXXoa3ALNtb6ulQEwaeSVZusYGwju9h0SEEBKKuo6_9vX_AlcohQ|V7l3fbkn-s9da-vTCUFViKT2-JW7rFLfjFs13Tl5ZgZ-4qwayJDgFKbI|WHm88fPNXayQ5AQDVSTw8jYlfp2RxgSql2o3ttxWaV4vBMyj|na1|challenger|SkyTec1|705|I|248|160|False|False|False|False|934|1595627303000|63
G9--cuB3oqJdUyV8LzrDGbiAFvNCkpcT2NWMAk17-6AaE5VB_h5ENTGR06b2E3qelGes52xP-QI8MQ|oJcrvsZvyQ2Lra9pMbxR2-DNEGECsK83eiHMuPvQng9t2qwUlQugnlE2|dq2pJiWf4kWcvirARnZoAKfe_nvCfBH8vHBAfuh6YPegE4Rd|na1|challenger|Karasmai100|472|I|135|113|False|False|True|True|4428|1595828707000|103
zXWU-kHiUEwpr9pwCYllT_o9LsXatK3HWrvsIWOpg0h6U9Bub3-MZP1ObPI-ENWPi_5aqtYE-M91pw|ocmKA5EYO1DFDfa5jYap7tvCG-4hUCGVlDGu8aYgsYcexIY|svu8LHhTunexlBMHNqlTqDsHzLvsJo8gYpWht7H-2UQfRdE|na1|challenger|5tunt|541|I|343|322|False|False|False|False|4656|1596098649000|238
KdFivFHoorJk6xhvdcSi9AliSEXM4gkYXikAskPhfihi-0tzlPKG9lN_Sx7oXPzaIfD86MhI4k7wLw|gJ-EBsfoJOwb8b8fB5pLESN9Na-Qr38IEBSB4bgfa3J1HJ1mYbFY1dCe|MA_XckbQkpU62jTgbvXiPuxVqy163gyfUoqQjZOEUiCuDzw2|na1|challenger|FLY Triple|591|I|308|255|True|False|False|False|29|1595576349000|74
86e_isw5SMVJh19s5OtXMFECLBQWV_lGUW9xjBzDQpjQ1fvImBC22SCG6xTuZBnCbk1s9-grK6ZMbw|_TPMdWRf1xcV92elspKJka3uPqLIaqPchdZEsVBEsLXuDQ|4XDhUaa_IPGb6OvdsOc0w2tgLM-ef0f8CAVLLcMfqa0SbJw|na1|challenger|GibIe|914|I|298|246|True|False|False|False|4655|1595985047000|323
G1Us46QnU2L3Mju8bMiir87AAVLxDBstZZ4gGj5Ts94bI9NdLqXSzhyFHN4Y8Y0WPGr7EQWIeCEyNw|B1w9KD4G9Vz1dgwR1xXKsDU7h_nMMXXQ6igxepoKY7jkig|0LCRkEsafpPxfuK-UDTFWtVD126NgQY6cbnIL12s6HaWHDw|na1|challenger|chen ping an|587|I|276|250|False|False|False|False|4027|1595620171000|321
nLk7uwGkeklBI2-rqvVAqJ6oFsPMT5gtu0NQxcnCrDGevZw1_5ViSGFEoy0MGFCVhz1Vq8Q7RfSWxA|ChQC108AsCHI4SSXX01BfpxZ8rHpBudI1F63N5VqHEchTg|GRYP6mqgXRQehek7PnFV4dYrWv4JtlI8_6A2-wr3707D6CM|na1|challenger|Qitong1|705|I|327|277|True|False|False|False|4632|1595818930000|247
lywKuQNACi24YZf9lXmkQavNFWkerACkCUWmdk0hcy_4n5f9p3xr7ZKaxcqNqso4x6a-1cY46KHZNQ|gyNouzz2bddNfR9cFiOI33ewx-jJvvutBIhpkpLql6_wGg|-VQbTSlwPvz8rVxhxe76x39ma_5JaVdtFmyqzhE8cVPuWO0|na1|challenger|Cavele|486|I|208|186|False|False|True|False|4411|1595857483000|268
5OLjYTwqQBx-rRLR3PBvXAv0pY5Ice1lvtjbnrxsn3FYUB9Gg85BCoUlU15uflCNIZgBB8snZwshnA|ZHHfHek7C8cyL3duby8JDXzUXI2h6EMsF6ic3Ogkp4CZjyg|k8SgJ3t8NkH_SfxXYU_0Kb8onscxZSPNWDTwZoOLL1ypj-Y|na1|challenger|Exile|467|I|201|163|False|False|True|False|4658|1595959618000|409
v6O4dUYtS62jtQyoB9YTdKm3xxM-gREyThb7BemwMhDH9KYOyDaKx3n2nQcvd_2A-ulRlF5Cd0-YsA|RnG9jrAzfLjxQi3aRG_X6SoO_bopf4yJUwPA4yHY3nOYGZY|eFg4jTYgio3AgoMrqrUzPBDkjswUxDQ66YCMIySjsOllU5g|na1|challenger|sb pang|578|I|147|116|False|False|False|False|4641|1595985699000|254
Q3uP13bcFhOoi-qqXb1JXo17XSVAC7XATir3LML9Nwk_oGk2amTx1iB1UTUW9kZkSC8MAU9cq7mPTg|bSZ6WAFnr9odgnw_jizCvo9mgylG-FxvWXRNL9zoI7e_Ek4|VLsjttf20PHIWwe4dUruZy6HcEwhG7GejnASIu2rROOwjLE|na1|challenger|Nim Chimpsky|475|I|347|328|False|False|False|False|3787|1596008935000|371
